facility,nodePAL,quantity
2683369498,1623183425,20762.0
2683369498,3279845497,968.0
2683369498,5260581064,965.0
2683369498,1088156051,25024.0
2683369498,3279862178,1782.0
2683369498,3279862185,5682.0
2683369498,9324411320,12039.0
2683369498,9324411347,20862.0
2683369498,9324411354,682.0
2683369498,9324382926,332.0
2683369498,3250297717,3354.0
2683369498,3250297741,9130.0
2683369498,867658653,2411.0
2683369498,3874098284,1673.0
2683369498,866858148,909.0
2683369498,3874096353,565.0
2683369498,3281243569,7926.0
2683369498,8694820435,7588.0
2683369498,3279861688,1975.0
2683369498,3279861689,450.0
2683369498,1182031840,1760.0
9721208955,3927947306,5133.0
9721208955,9721208955,14970.0
9721208955,4392405206,2205.0
9721208955,5559720207,7168.0
9721208955,3929102610,11156.0
9721208955,5359690072,301.0
9721208955,5294901775,2495.0
9721208955,5294901797,1469.0
9721208955,7942893321,6340.0
9721208955,9721209625,1156.0
9721208955,5294877794,730.0
9721208955,5294877831,1459.0
9721208955,5294877841,344.0
9721208955,5294877840,4976.0
9721208955,5294877846,326.0
9721208955,5294877866,418.0
9721208955,5294877873,34208.0
9721208955,9721353446,182.0
9721208955,9721353457,434.0
9721208955,9721339174,3543.0
9721208955,9721339182,14001.0
9721208955,9721339195,7908.0
9721208955,6111905297,8541.0
9721208955,5294878229,1601.0
9721208955,3425674803,8803.0
9721208955,3425674807,6516.0
9721208955,5294884445,342.0
9721208955,5294884460,1750.0
9721208955,3425674884,6040.0
9721208955,3425672850,4147.0
9721208955,5760814745,98.0
9721208955,7942893328,8776.0
9721208955,5760605992,2892.0
3739554008,9860409361,263.0
3739554008,1154056296,1918.0
3739554008,9860839734,3584.0
3739554008,9860839733,684.0
3739554008,1682508115,115.0
3739554008,1683585375,258.0
3739554008,1682508147,52319.0
3739554008,1682508159,3514.0
3739554008,1682508166,11751.0
3739554008,1682508199,913.0
3739554008,1154056622,1780.0
3739554008,1682508215,205.0
3739554008,1154056640,499.0
3739554008,9861298632,547.0
3739554008,6208950745,120.0
3739554008,9861298655,593.0
3739554008,9861298657,11149.0
3739554008,6202233390,731.0
3739554008,1682508367,714.0
3739554008,1682508373,7736.0
3739554008,1682508380,4905.0
3739554008,9860770440,2726.0
3739554008,1682518685,124.0
3739554008,9860770468,279.0
3739554008,6318736037,4797.0
3739554008,676889408,1684.0
3739554008,1682521371,1101.0
3739554008,9860838720,534.0
3739554008,1682503017,12613.0
3739554008,9860738426,10979.0
3739554008,1682503045,800.0
3739554008,1682503050,209.0
3739554008,1682503051,243.0
3739554008,1682503063,5355.0
3739554008,9860713940,2376.0
3739554008,9321158110,2719.0
3739554008,9394710136,7446.0
3739554008,8608480933,3979.0
3739554008,8608480939,564.0
3739554008,6238330595,244.0
3739554008,6238330633,4790.0
3739554008,9860769597,2568.0
8526000358,5192570961,865.0
8526000358,5192570962,13899.0
8526000358,5192570971,1918.0
8526000358,8526000363,7253.0
8526000358,5192159484,1333.0
8526000358,5192159485,1791.0
8526000358,8529363343,20792.0
8526000358,3266349501,373.0
8526000358,8530088489,352.0
8526000358,5405670015,122.0
8526000358,1950954155,2850.0
8526000358,391436998,24144.0
8526000358,8526041820,2218.0
8526000358,8526041836,1992.0
8526000358,8526041837,17713.0
8526000358,8526041842,1748.0
8526000358,1950954337,4250.0
8526000358,8529947606,4986.0
8526000358,8526257151,214.0
8526000358,8526257161,901.0
8526000358,8529337392,1809.0
8526000358,7306900718,178.0
8526000358,4987350271,1888.0
8526000358,4987387146,5925.0
8526000358,4987387210,295.0
8526000358,8526622073,1485.0
8526000358,8526067077,110.0
8526000358,3274028473,8813.0
8526000358,5191511514,16152.0
8526000358,3274026507,1943.0
8526000358,8533065315,2152.0
8526000358,3274030746,1823.0
8526000358,4987387575,1779.0
8526000358,4987387589,384.0
8526000358,8526040803,1821.0
8526000358,312766247,1079.0
8526000358,391440189,2518.0
8526000358,312766314,10560.0
2683369731,3891871815,5889.0
2683369731,8694287461,6917.0
2683369731,8694287462,1047.0
2683369731,2757130449,3967.0
2683369731,2683369708,1864.0
2683369731,5260466442,747.0
2683369731,5326191007,1211.0
2683369731,1750571541,10039.0
2683369731,1750571545,7899.0
2683369731,1750571565,1313.0
2683369731,1750567619,177.0
2683369731,3861891798,2878.0
2683369731,2757186284,6119.0
2683369731,1750567704,3893.0
2683369731,2757186417,5420.0
2683369731,3248716788,2588.0
2683369731,3874104353,8438.0
2683369731,8694287464,8583.0
2683369731,3874098284,2972.0
2683369731,8694287486,9573.0
2683369731,3610152272,30521.0
2683369731,8753712515,5432.0
2683369731,5260543523,2201.0
2683369731,5260543541,4474.0
2683369731,5260543572,9213.0
2683369731,2757130148,7299.0
2683369731,5260488665,9663.0
2683369731,5410543577,1503.0
2683369731,5260488668,8588.0
5199178045,3273863182,3128.0
5199178045,8530399291,1675.0
5199178045,3273998410,1170.0
5199178045,3274014916,1461.0
5199178045,3274017013,1831.0
5199178045,8530383130,12167.0
5199178045,5199221043,5813.0
