0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
1623183425,5260581064,1088156051,1750567704,3250297717,3250297741.0,3874104353.0,3874098284.0,3874096353.0,3281243569.0,8694820435.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4018454529,4018454549,6326138922,3275479135,3110484902,5605573938.0,5605573950.0,5605573969.0,9238316483.0,5201659387.0,5201659390.0,792254021.0,8529159748.0,8529159758.0,8529159787.0,8529159802.0,8529159804.0,8529159805.0,5201659529.0,5605564086.0,5602957141.0,5602957142.0,9238284151.0,5602957200.0,5201653691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9721208955,10283956692,7942893321,5294877831,5294877841,5294877840.0,5294877846.0,5294877866.0,5294877873.0,9721339174.0,9721339182.0,6111905297.0,5294878226.0,5294878229.0,5294878236.0,3425674803.0,3425674807.0,5294884445.0,5294884460.0,7942893328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154056296,9860839733,1682508147,1682508159,1682508166,1682508199.0,1154056622.0,1682508215.0,1154056640.0,9321158110.0,9394710136.0,8608480932.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9854480449,3335371915,9854469333,9854480303,9854480314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5192570961,5192570962,5192570971,8526000363,8529363343,5405670015.0,8529337392.0,4987350271.0,4987387210.0,8526622073.0,8526067077.0,5191511514.0,4987387575.0,4987387589.0,5078175514.0,312766247.0,391440189.0,312766314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3891871815,8694287461,8694287462,2683369708,1750571541,1750571545.0,1750571565.0,1750567704.0,3248716788.0,8694287486.0,1084589281.0,3610152272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5266042933,5266042948,5266057504,5324917044,5324917055,3875326335.0,1618959403.0,1836035234.0,1836035276.0,1084589281.0,2708223249.0,5972895099.0,2708223432.0,5324903974.0,9113943659.0,1835726570.0,8759007164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9871218742,3273998410,6231144587,6231144589,3274014916,5199221043.0,5199178045.0,314915243.0,5199178166.0,9883460037.0,314915281.0,314915283.0,4987406880.0,4987406881.0,3273863769.0,3274015327.0,3274015330.0,3273863780.0,1951074950.0,5191989960.0,5981489976.0,5191818063.0,3274023763.0,8529994702.0,8529738705.0,5981492190.0,4987413581.0,3274005761.0,3274011995.0,2360831486.0,3274012164.0,8529770029.0,6231215970.0,6231216025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154056237,4941035705,9861267756,9861267757,9860839734,1154060648.0,1682508147.0,1682508179.0,1682508182.0,1154056603.0,1154056710.0,5105504899.0,1154061069.0,9730310938.0,9730310940.0,1154061094.0,9861104589.0,5294877873.0,320103650.0,2416334263.0,1154018920.0,9394710125.0,9394710133.0,1154018933.0,8608480933.0,8608480939.0,4936312506.0,4936312513.0,4936312514.0,840687308.0,1154019079.0,1154019087.0,9730236198.0,9730236197.0,9861109636.0,3929198578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5060446209,5060446212,5060446225,5060446246,5060446251,6224013381.0,5060446285.0,5060446290.0,5060446295.0,5060446297.0,6224038023.0,9321013413.0,9321056525.0,6224013611.0,6224013618.0,6224013628.0,6224013629.0,9872738629.0,6224013643.0,9321056597.0,9321056608.0,3335373161.0,6223964662.0,6223964826.0,9860627156.0,9872801546.0,9321067326.0,4942885720.0,9860658088.0,9872813200.0,6320956701.0,6201038131.0,9860883817.0,6224021039.0,9860638425.0,6223986406.0,6224021237.0,5060446170.0,4942868456.0,5060446189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
