lon;lat
10.090000;-85.070000
10.135197;-85.069730
10.180393;-85.069459
10.225590;-85.069187
10.270786;-85.068913
10.315982;-85.068638
10.361178;-85.068362
10.406374;-85.068084
10.451570;-85.067805
10.496766;-85.067525
10.541961;-85.067244
10.587157;-85.066961
10.632352;-85.066677
10.677547;-85.066392
10.722742;-85.066106
10.767937;-85.065818
10.813132;-85.065529
10.858326;-85.065239
10.903521;-85.064947
10.948715;-85.064654
10.993909;-85.064360
11.039103;-85.064064
10.089730;-85.024392
10.134926;-85.024116
10.180121;-85.023838
10.225316;-85.023559
10.270511;-85.023279
10.315706;-85.022997
10.360901;-85.022715
10.406096;-85.022431
10.451290;-85.022145
10.496485;-85.021859
10.541679;-85.021571
10.586873;-85.021281
10.632067;-85.020991
10.677261;-85.020699
10.722455;-85.020406
10.767649;-85.020111
10.812842;-85.019815
10.858035;-85.019518
10.903229;-85.019219
10.948422;-85.018920
10.993615;-85.018619
11.038807;-85.018316
10.089454;-84.978785
10.134648;-84.978502
10.179842;-84.978218
10.225036;-84.977933
10.270230;-84.977646
10.315424;-84.977358
10.360617;-84.977069
10.405811;-84.976778
10.451004;-84.976487
10.496197;-84.976193
10.541390;-84.975899
10.586583;-84.975603
10.631776;-84.975305
10.676969;-84.975007
10.722161;-84.974707
10.767353;-84.974405
10.812546;-84.974103
10.857738;-84.973799
10.902930;-84.973493
10.948121;-84.973187
10.993313;-84.972879
11.038505;-84.972569
10.089171;-84.933179
10.134364;-84.932890
10.179557;-84.932600
10.224750;-84.932308
10.269942;-84.932015
10.315135;-84.931721
10.360327;-84.931425
10.405519;-84.931128
10.450711;-84.930829
10.495903;-84.930529
10.541095;-84.930228
10.586286;-84.929925
10.631478;-84.929621
10.676669;-84.929316
10.721860;-84.929009
10.767051;-84.928701
10.812242;-84.928392
10.857433;-84.928081
10.902624;-84.927769
10.947814;-84.927455
10.993005;-84.927140
11.038195;-84.926824
10.088882;-84.887575
10.134074;-84.887280
10.179265;-84.886983
10.224457;-84.886685
10.269648;-84.886385
10.314839;-84.886084
10.360030;-84.885782
10.405221;-84.885478
10.450412;-84.885173
10.495602;-84.884867
10.540793;-84.884559
10.585983;-84.884249
10.631173;-84.883939
10.676363;-84.883627
10.721553;-84.883313
10.766743;-84.882998
10.811932;-84.882682
10.857122;-84.882364
10.902311;-84.882045
10.947500;-84.881725
10.992689;-84.881403
11.037878;-84.881079
10.088587;-84.841972
10.133777;-84.841670
10.178968;-84.841367
10.224158;-84.841063
10.269348;-84.840757
10.314537;-84.840449
10.359727;-84.840140
10.404916;-84.839830
10.450106;-84.839519
10.495295;-84.839205
10.540484;-84.838891
10.585673;-84.838575
10.630862;-84.838258
10.676050;-84.837939
10.721239;-84.837618
10.766427;-84.837297
10.811616;-84.836974
10.856804;-84.836649
10.901992;-84.836323
10.947179;-84.835996
10.992367;-84.835667
11.037555;-84.835337
10.088286;-84.796371
10.133475;-84.796063
10.178663;-84.795753
10.223852;-84.795442
10.269041;-84.795130
10.314229;-84.794816
10.359417;-84.794500
10.404605;-84.794184
10.449793;-84.793865
10.494981;-84.793546
10.540169;-84.793224
10.585356;-84.792902
10.630544;-84.792578
10.675731;-84.792252
10.720918;-84.791925
10.766105;-84.791597
10.811292;-84.791267
10.856479;-84.790935
10.901665;-84.790603
10.946852;-84.790268
10.992038;-84.789932
11.037224;-84.789595
10.087978;-84.750771
10.133166;-84.750456
10.178353;-84.750140
10.223540;-84.749823
10.268727;-84.749504
10.313914;-84.749184
10.359101;-84.748862
10.404288;-84.748538
10.449474;-84.748214
10.494661;-84.747887
10.539847;-84.747560
10.585033;-84.747230
10.630219;-84.746899
10.675405;-84.746567
10.720591;-84.746233
10.765776;-84.745898
10.810962;-84.745561
10.856147;-84.745223
10.901332;-84.744883
10.946517;-84.744542
10.991702;-84.744199
11.036887;-84.743855
10.087664;-84.705172
10.132850;-84.704851
10.178036;-84.704529
10.223222;-84.704205
10.268407;-84.703880
10.313593;-84.703553
10.358778;-84.703225
10.403964;-84.702895
10.449149;-84.702563
10.494334;-84.702230
10.539519;-84.701896
10.584703;-84.701560
10.629888;-84.701223
10.675072;-84.700884
10.720257;-84.700543
10.765441;-84.700201
10.810625;-84.699858
10.855809;-84.699512
10.900992;-84.699166
10.946176;-84.698818
10.991359;-84.698468
11.036542;-84.698117
10.087344;-84.659575
10.132528;-84.659248
10.177713;-84.658919
10.222897;-84.658589
10.268081;-84.658257
10.313265;-84.657924
10.358449;-84.657589
10.403633;-84.657253
10.448817;-84.656915
10.494000;-84.656575
10.539184;-84.656234
